                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r21.12.1"                               "gfortran"                                 "10.2.0"                   "x86_64-macos-22.10.1"                                 "CRMATH"                               "20230310"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      879                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998324949672912E-001                  3.5275749361045619E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998324949672912E-001                  3.5275749361045619E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7576112178940615E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7576112178940615E+001                 -1.7576112178940615E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6170641837700095E+000                  4.0184881291851999E+000                  2.2977688579170774E+000                  1.0186211705246591E+000                  0.0000000000000000E+000                  9.1846526235202699E+000                 -4.7088827219253284E+000                  5.7034632480684637E+000                  6.0093909854803051E-001                  8.7100446964528777E-001                  1.2416681234177536E+000                  7.4199999999999999E-001                  2.5197318212827396E-001                  1.0340650082358465E-003                  2.8141582935448618E-003                  1.0340650082358469E-003                  2.8141582935448627E-003                  1.1130000000000006E+001                  3.7795977319241065E+000                                        0                                        4 
                                       2                                      885                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3570430800885911E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3570430800885911E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7576112117812983E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7576112117812983E+001                 -1.7576112117812983E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6170655129435185E+000                  4.0184934584653824E+000                  2.2977688642101519E+000                  1.0186211579385100E+000                  0.0000000000000000E+000                  9.1846526385787346E+000                 -4.7088827104020377E+000                  5.7034632516776842E+000                  6.0093909854671712E-001                  8.7100446964528777E-001                  1.2416681234177536E+000                  7.4199999999999999E-001                  2.5197318212827396E-001                  1.0340650082358465E-003                  2.8141582935448618E-003                  1.0340650082358469E-003                  2.8141582935448627E-003                  1.1130000000000006E+001                  3.7795977319241065E+000                                        0                                        2 
                                       3                                      890                  3.6400000000000004E-005                 -4.8416375079047498E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3570638579105999E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3570638579105999E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7576112045482741E+001                 -9.8999999999999986E+001                 -3.3113299523037931E+001                 -1.7576112045482741E+001                 -1.7576112045482741E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6170730325486109E+000                  4.0185235462405782E+000                  2.2977688688875646E+000                  1.0186211485836851E+000                  0.0000000000000000E+000                  9.1846526563947410E+000                 -4.7088826967372972E+000                  5.7034632559267395E+000                  6.0093909854517424E-001                  8.7100446964528777E-001                  1.2416681234177536E+000                  7.4199999999999999E-001                  2.5197318212827396E-001                  1.0340650082358465E-003                  2.8141582935448618E-003                  1.0340650082358469E-003                  2.8141582935448627E-003                  1.1130000000000006E+001                  3.7795977319241065E+000                                        0                                        2 
                                       4                                      890                  5.3680000000000008E-005                 -4.7624562618571247E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3570909271844453E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3570909271844453E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7576111957857940E+001                 -9.8999999999999986E+001                 -3.3414329518701912E+001                 -1.7576111957857940E+001                 -1.7576111957857940E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6170790042474166E+000                  4.0185474300637516E+000                  2.2977688674015404E+000                  1.0186211515557331E+000                  0.0000000000000000E+000                  9.1846526778641824E+000                 -4.7088826802816612E+000                  5.7034632610547229E+000                  6.0093909854331129E-001                  8.7100446964528777E-001                  1.2416681234177536E+000                  7.4199999999999999E-001                  2.5197318212827396E-001                  1.0340650082358465E-003                  2.8141582935448618E-003                  1.0340650082358469E-003                  2.8141582935448627E-003                  1.1130000000000006E+001                  3.7795977319241065E+000                                        0                                        2 
                                       5                                      890                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3571261506915681E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3571261506915681E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7576111851719947E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7576111851719947E+001                 -1.7576111851719947E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6170823726453696E+000                  4.0185608841274236E+000                  2.2977688576374704E+000                  1.0186211710838733E+000                  0.0000000000000000E+000                  9.1846527037461136E+000                 -4.7088826604587357E+000                  5.7034632672465690E+000                  6.0093909854105976E-001                  8.7100446964528777E-001                  1.2416681234177536E+000                  7.4199999999999999E-001                  2.5197318212827396E-001                  1.0340650082358465E-003                  2.8141582935448618E-003                  1.0340650082358469E-003                  2.8141582935448627E-003                  1.1130000000000006E+001                  3.7795977319241065E+000                                        0                                        2 
                                       6                                      890                  9.9299200000000013E-005                 -4.6040937697618753E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3571718516794150E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3571718516794150E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7576111723519052E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7576111723519052E+001                 -1.7576111723519052E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6170833514034810E+000                  4.0185647646129290E+000                  2.2977688403639984E+000                  1.0186212056308168E+000                  0.0000000000000000E+000                  9.1846527348939357E+000                 -4.7088826366137466E+000                  5.7034632747056691E+000                  6.0093909853834637E-001                  8.7100446964528777E-001                  1.2416681234177536E+000                  7.4199999999999999E-001                  2.5197318212827396E-001                  1.0340650082358465E-003                  2.8141582935448618E-003                  1.0340650082358469E-003                  2.8141582935448627E-003                  1.1130000000000006E+001                  3.7795977319241065E+000                                        0                                        2 
                                       7                                      890                  1.2915904000000000E-004                 -4.5249125237142502E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3572308710639973E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3572308710639973E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7576111569082258E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7576111569082258E+001                 -1.7576111569082258E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6170826356416748E+000                  4.0185618557720399E+000                  2.2977688174671678E+000                  1.0186212514244788E+000                  0.0000000000000000E+000                  9.1846527723155784E+000                 -4.7088826079713497E+000                  5.7034632836708719E+000                  6.0093909853508443E-001                  8.7100446964528777E-001                  1.2416681234177536E+000                  7.4199999999999999E-001                  2.5197318212827396E-001                  1.0340650082358465E-003                  2.8141582935448618E-003                  1.0340650082358469E-003                  2.8141582935448627E-003                  1.1130000000000006E+001                  3.7795977319241065E+000                                        0                                        2 
                                       8                                      890                  1.6499084799999998E-004                 -4.4457312776666260E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3573066530965361E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3573066530965361E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7576111383383296E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7576111383383296E+001                 -1.7576111383383296E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6170809647668603E+000                  4.0185551190893900E+000                  2.2977687908754705E+000                  1.0186213046078729E+000                  0.0000000000000000E+000                  9.1846528172237640E+000                 -4.7088825735990465E+000                  5.7034632944298274E+000                  6.0093909853116978E-001                  8.7100446964528777E-001                  1.2416681234177536E+000                  7.4199999999999999E-001                  2.5197318212827396E-001                  1.0340650082358465E-003                  2.8141582935448618E-003                  1.0340650082358469E-003                  2.8141582935448627E-003                  1.1130000000000006E+001                  3.7795977319241065E+000                                        0                                        2 
                                       9                                      890                  2.0798901759999997E-004                 -4.3665500316190009E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3574033744968770E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998324949672934E-001                  3.3574033744968770E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7576111160327905E+001                 -9.8999999999999986E+001                 -3.3414329518701912E+001                 -1.7576111160327905E+001                 -1.7576111160327905E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6170789296266856E+000                  4.0185469208324056E+000                  2.2977687620273288E+000                  1.0186213623041562E+000                  0.0000000000000000E+000                  9.1846528710851505E+000                 -4.7088825323705432E+000                  5.7034633073313996E+000                  6.0093909852647587E-001                  8.7100446964528777E-001                  1.2416681234177536E+000                  7.4199999999999999E-001                  2.5197318212827396E-001                  1.0340650082358465E-003                  2.8141582935448618E-003                  1.0340650082358469E-003                  2.8141582935448627E-003                  1.1130000000000006E+001                  3.7795977319241065E+000                                        0                                        2 
