                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r21.12.1"                               "gfortran"                                 "10.2.0"                   "x86_64-macos-22.10.1"                                 "CRMATH"                               "20230310"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      868                  1.0000000000000001E-005                 -4.9999999999999991E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992315352513916E-001                  7.6108547737361074E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992315352513916E-001                  7.6108547737361074E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9394707883296224E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9394707883296224E+001                 -1.9394707883296224E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5873371408876942E+000                  4.7793614769291670E+000                  2.7376596175536920E+000                  5.6480838352371110E-001                  0.0000000000000000E+000                  8.3625496881044121E+000                 -5.5188122869029952E+000                  5.6036814245673998E+000                  6.1279635401617394E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046784E-003                  2.8719999999999999E+001                  1.0718859176250394E+001                                        0                                        3 
                                       2                                      872                  2.1999999999999999E-005                 -4.9208187539523749E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5487858349516393E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5487858349516393E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9394707689652563E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9394707689652563E+001                 -1.9394707689652563E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5873330031201225E+000                  4.7793448794777733E+000                  2.7376595943631394E+000                  5.6480842990481650E-001                  0.0000000000000000E+000                  8.3625497313009749E+000                 -5.5188122538972779E+000                  5.6036814351289923E+000                  6.1279635400610344E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046784E-003                  2.8719999999999999E+001                  1.0718859176250394E+001                                        0                                        3 
                                       3                                      876                  3.6400000000000004E-005                 -4.8416375079047498E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5489656416431086E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5489656416431086E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9394707513285375E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9394707513285375E+001                 -1.9394707513285375E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5873396453211899E+000                  4.7793715972639506E+000                  2.7376596688540924E+000                  5.6480828092291002E-001                  0.0000000000000000E+000                  8.3625497719849040E+000                 -5.5188122218251170E+000                  5.6036814446956607E+000                  6.1279635399715682E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046784E-003                  2.8719999999999999E+001                  1.0718859176250394E+001                                        0                                        2 
                                       4                                      876                  5.3680000000000008E-005                 -4.7624562618571247E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5493615490008908E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5493615490008908E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9394707289687652E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9394707289687652E+001                 -1.9394707289687652E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5873454047479747E+000                  4.7793947644445209E+000                  2.7376597335908071E+000                  5.6480815144948082E-001                  0.0000000000000000E+000                  8.3625498231865709E+000                 -5.5188121817298583E+000                  5.6036814568390607E+000                  6.1279635398575116E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046784E-003                  2.8719999999999999E+001                  1.0718859176250394E+001                                        0                                        2 
                                       5                                      876                  7.4416000000000014E-005                 -4.6832750158095005E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5498306241198521E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5498306241198521E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9394707020739293E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9394707020739293E+001                 -1.9394707020739293E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5873522035865415E+000                  4.7794221078677595E+000                  2.7376598076252940E+000                  5.6480800338050685E-001                  0.0000000000000000E+000                  8.3625498847542339E+000                 -5.5188121335306386E+000                  5.6036814714461523E+000                  6.1279635397202903E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046784E-003                  2.8719999999999999E+001                  1.0718859176250394E+001                                        0                                        2 
                                       6                                      876                  9.9299200000000013E-005                 -4.6040937697618753E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5503847902846061E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5503847902846061E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9394706694445965E+001                 -9.8999999999999986E+001                 -3.5220509492685800E+001                 -1.9394706694445965E+001                 -1.9394706694445965E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5873597089416758E+000                  4.7794522856427006E+000                  2.7376598858024948E+000                  5.6480784702610543E-001                  0.0000000000000000E+000                  8.3625499593433794E+000                 -5.5188120752132619E+000                  5.6036814891719189E+000                  6.1279635395536292E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046784E-003                  2.8719999999999999E+001                  1.0718859176250394E+001                                        0                                        2 
                                       7                                      876                  1.2915904000000000E-004                 -4.5249125237142502E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5510380345421499E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5510380345421499E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9394706295436116E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9394706295436116E+001                 -1.9394706295436116E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5873673385231908E+000                  4.7794829527393938E+000                  2.7376599601878135E+000                  5.6480769825546839E-001                  0.0000000000000000E+000                  8.3625500503353916E+000                 -5.5188120042290638E+000                  5.6036815108566138E+000                  6.1279635393494614E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046784E-003                  2.8719999999999999E+001                  1.0718859176250394E+001                                        0                                        2 
                                       8                                      876                  1.6499084799999998E-004                 -4.4457312776666260E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5518038191278225E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5518038191278225E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9394705806155265E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9394705806155265E+001                 -1.9394705806155265E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5873745585687837E+000                  4.7795119590829307E+000                  2.7376600232683952E+000                  5.6480757209430499E-001                  0.0000000000000000E+000                  8.3625501616104412E+000                 -5.5188119176395611E+000                  5.6036815374590834E+000                  6.1279635390985898E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046784E-003                  2.8719999999999999E+001                  1.0718859176250394E+001                                        0                                        2 
                                       9                                      876                  2.0798901759999997E-004                 -4.3665500316190009E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5526999654892776E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992315352513927E-001                  7.5526999654892776E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9394705206691643E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9394705206691643E+001                 -1.9394705206691643E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5873809419470963E+000                  4.7795375832963023E+000                  2.7376600686184553E+000                  5.6480748139418424E-001                  0.0000000000000000E+000                  8.3625502975950159E+000                 -5.5188118120737863E+000                  5.6036815700659437E+000                  6.1279635387906395E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046784E-003                  2.8719999999999999E+001                  1.0718859176250394E+001                                        0                                        2 
