#Table: J/A+A/640/A36/tablea1.dat (http://cdsarc.cds.unistra.fr)
---------------------------------------------------------
C|           |         |               |    |    |   |
a|           |         |               | log|   l| vs|vma
t|Name       |      TIC|SpType         |Teff|ogLs|ini|cro
-|-----------|---------|---------------|----|----|---|---
1|HD 96715   |306491594|O4 V((f))z     |4.66|4.10| 59| 86
1|HD 46223   |234881667|O4 V((f))      |4.62|4.16| 60| 91
1|HD 155913  |216662610|O4.5 Vn((f))   |4.63|3.88|278|---
1|HD 46150   |234840662|O5 V((f))      |4.61|4.03| 71| 94
1|HD 90273   |464295672|ON7 V          |4.59|3.95| 55| 55
1|HD 110360  |433738620|ON7 V          |4.59|3.60| 96| 86
1|HD 47839   |220322383|O7 V           |4.58|3.70| 43| 65
1|HD 53975   |148506724|O7.5 Vz        |4.56|3.74|181|---
1|HD 41997   |294114621|O7.5 Vn((f))   |4.55|3.85|262|---
1|HD 46573   |234947719|O7 V((f))z     |4.56|3.93| 77| 81
1|HD 48279   |234009943|O8 V           |4.55|3.76|131| 74
1|HD 46056   |234834992|O8 Vn          |4.55|3.58|370|---
1|HD 38666   |100589904|O9.5 V         |4.53|3.59|111| 56
2|HD 74920   |430625455|O7.5 IVn((f))  |4.54|3.90|291|---
2|HD 135591  |455675248|O8 IV((f))     |4.54|3.99| 60| 60
2|HD 326331  |339568114|O8 IVn((f))    |4.54|3.82|332|---
2|HD 37041   |427395049|O9.5 IVp       |4.54|3.28|134|---
2|HD 123056  |330281456|O9.5 IV(n)     |4.50|3.70|193|---
3|HD 97253   |467065657|O5 III(f)      |4.59|4.16| 70|105
3|HD 93843   |465012898|O5 III(fc)     |4.57|4.15| 58|120
3|HD 156738  |195288472|O6.5 III(f)    |4.58|3.87| 65|103
3|HD 36861   |436103278|O8 III((f))    |4.55|4.06| 53| 75
3|HD 150574  |234648113|ON9 III(n)     |4.52|3.87|252|---
3|HD 152247  |339570292|O9.2 III       |4.51|3.94| 82| 96
3|HD 55879   |178489528|O9.7 III       |4.49|3.85| 26| 60
3|HD 154643  | 43284243|O9.7 III       |4.49|3.85|101| 78
4|CPD-47 2963| 30653985|O5 Ifc         |4.57|4.16| 67|110
4|HD 156154  |152659955|O7.5 Ib(f)     |4.53|4.22| 62|102
4|HD 112244  |406050497|O8.5 Iab(f)p   |4.50|4.15|124| 80
4|HD 151804  |337793038|O8 Iaf         |4.45|4.33| 72| 73
4|HD 303492  |459532732|O8.5 Iaf       |4.45|4.29| 87| 55
4|HD 57061   |106347931|O9 II          |4.51|4.01| 57| 93
4|HD 152249  |339567904|OC9 Iab        |4.49|4.15| 71| 70
4|HD 152424  |247267245|OC9.2 Ia       |4.48|4.14| 59| 66
4|HD 154368  | 41792209|O9.5 Iab       |4.48|4.28| 65| 78
4|HD 152003  |338640317|O9.7 Iab Nwk   |4.48|4.12| 65| 83
4|HD 152147  |246953610|O9.7 Ib Nwk    |4.48|4.04| 91| 64
5|HD 36960   |427373484|B0.5 V         |4.46|3.31| 23| 37
5|HD 37042   |427395058|B0.7 V         |4.47|3.06| 33| 13
5|HD 43112   |434384707|B1 V           |4.41|2.95|  7| 12
5|HD 35912   |464839773|B2 V           |4.26|2.44| 11| 21
5|HD 48977   |202148345|B2.5 V         |4.25|2.61| 26|  8
6|HD 34816   |442871031|B0.5 IV        |4.46|3.22| 25|---
6|HD 46328   | 47763235|B0.5 IV        |4.40|3.28|  7| 20
6|HD 50707   | 78897024|B1 IV          |4.38|3.31| 29| 46
6|HD 37481   |332913301|B1.5 IV        |4.34|2.78| 74| 21
6|HD 37209   |388935529|B2 IV          |4.38|2.76| 50| 15
6|HD 26912   |283793973|B3 IV          |4.20|2.61| 53| 30
6|HD 37711   | 59215060|B3 IV          |4.21|2.61| 68| 51
6|HD 57539   | 10176636|B3 IV          |4.13|2.54|162| 13
6|HD 41753   |151464886|B3 IV          |4.23|2.61| 25| 40
6|HD 224990  |313934087|B5 IV          |4.13|2.33| 20| 40
7|HD 48434   |234052684|B0 III         |4.48|3.93| 48| 82
7|HD 61068   |349043273|B2 III         |4.39|3.08| 12| 23
7|HD 35468   |365572007|B2 III         |4.29|2.99| 53| 27
8|HD 44743   | 34590771|B1 II-III      |4.37|3.20| 24| 40
8|HD 54764   | 95513457|B1 II          |4.30|3.97|123| 87
8|HD 52089   | 63198307|B2 II          |4.34|3.60| 26| 50
8|HD 51309   |146908355|B3 II          |4.20|3.64| 27| 43
8|HD 46769   |281148636|B5 II          |4.11|3.16| 70| 23
8|HD 27563   | 37777866|B7 II          |4.16|2.61| 34| 26
8|HD 53244   |148109427|B8 II          |4.14|2.74| 36| 21
8|HD 37128   |427451176|B0 Ia          |4.47|4.05| 55| 85
8|HD 38771   | 66651575|B0.5 Ia        |4.47|4.06| 53| 83
8|HD 53138   | 80466973|B3 Iab         |4.23|4.13| 37| 56
8|HD 39985   |102281507|B9 Ib          |4.11|2.34| 26| 28
9|HD 37061   |427393920|O9.5 V         |4.49|3.07|210|---
9|HD 37742   | 11360636|O9.2 Ib var Nwk|4.47|4.15|122| 97
9|HD 57682   |187458882|O9.2 IV        |4.54|3.62| 12| 38
9|HD 54879   |177860391|O9.7 V         |4.52|3.16|  7| 10
---------------------------------------------------------
