#Table: J/A+A/640/A36/tablea2.dat (http://cdsarc.cds.unistra.fr)
-----------------------------------------------------------------------------------
C|           |         |        |     |       |       |       |       |      |
a|           |         |        |  e_a|       |      e|       |       |      |
t|Name       |      TIC|  alpha0|lpha0| nuchar|_nuchar|  gamma|e_gamma|    Cw|   e_
-|-----------|---------|--------|-----|-------|-------|-------|-------|------|-----
1|HD 96715   |306491594|  99.219|0.039|5.74308|0.00368|1.66987|0.00101| 3.210|0.007
1|HD 46223   |234881667| 249.330|0.047|3.99087|0.00135|1.63706|0.00041| 5.766|0.002
1|HD 155913  |216662610| 253.521|0.033|6.15743|0.00115|2.08883|0.00054| 6.635|0.006
1|HD 46150   |234840662| 175.470|0.044|3.95351|0.00181|1.59155|0.00050| 4.480|0.002
1|HD 90273   |464295672| 186.796|0.051|2.96658|0.00147|1.52985|0.00051| 6.361|0.002
1|HD 110360  |433738620| 104.664|0.061|2.36468|0.00242|1.36668|0.00116|11.971|0.007
1|HD 47839   |220322383|  54.461|0.046|3.78150|0.00548|1.59141|0.00212| 3.900|0.006
1|HD 53975   |148506724| 144.615|0.055|2.77860|0.00194|1.36739|0.00071| 2.631|0.007
1|HD 41997   |294114621| 803.647|0.040|2.61022|0.00018|2.32176|0.00023| 9.622|0.004
1|HD 46573   |234947719| 409.204|0.058|2.00862|0.00051|1.43600|0.00027| 3.883|0.006
1|HD 48279   |234009943| 262.925|0.052|2.77586|0.00089|1.73500|0.00053|11.124|0.005
1|HD 46056   |234834992|  56.700|0.026|9.05220|0.00551|2.45063|0.00266| 7.696|0.006
1|HD 38666   |100589904|  20.239|0.048|4.06758|0.01641|1.73389|0.00697| 1.246|0.006
2|HD 74920   |430625455| 367.615|0.036|3.66392|0.00053|2.18152|0.00040| 4.029|0.005
2|HD 135591  |455675248| 343.595|0.061|1.97700|0.00066|1.38857|0.00026| 2.235|0.002
2|HD 326331  |339568114|1196.544|0.056|2.20987|0.00017|1.75566|0.00012| 9.365|0.005
2|HD 37041   |427395049|  48.977|0.085|0.93624|0.00304|1.43815|0.00304| 4.910|0.005
2|HD 123056  |330281456| 268.094|0.033|4.01672|0.00065|2.46953|0.00073| 8.208|0.005
3|HD 97253   |467065657| 837.597|0.048|2.20426|0.00019|2.06179|0.00020| 5.257|0.004
3|HD 93843   |465012898| 489.559|0.060|2.60714|0.00055|1.68517|0.00032| 2.333|0.006
